Id,Problem,Solution
11,Write a C++ Program to raise any number X to power N,"#include<iostream>
#include<math.h>   //for pow() function
using namespace std;

int main()
{

    int x_._n_._result;

    cout<<""Enter value of X :: "";
    cin>>x;
    cout<<""\nEnter value of N :: "";
    cin>>n;

    result=pow(x_._n);

    cout<<""\nThe Power of Number [ ""<<x<<"" ^ ""<<n<<"" ] = ""<<result<<""\n"";

    return 0;
}"
12,Write a C++ Program to find Addition of Two Number,"#include<iostream>

using namespace std;

int main()
{
    int x_._y_._sum;

    cout<<""Enter first number :: "";
    cin>>x;
    cout<<""\nEnter second number :: "";
    cin>>y;

    sum=x+y;

    cout<<""\nSum of two numbers [ ""<<x<<"" + ""<<y<<"" ] = ""<<sum<<""\n"";

    return 0;
}"
13,Write a C++ Program to Convert Days Into Years Weeks and Day,"#include<iostream>

using namespace std;

int main()
{
    int y_._d_._w;

    cout<<""Enter No. of days :: "";
    cin>>d;

    y=d/365;
    d=d%365;
    w=d/7;
    d=d%7;

    cout<<""\nNo. of Years: : ""<<y<<""\nNo. of Weeks :: ""<<w<<""\nNo. of Days :: ""<<d<<""\n"";

    return 0;
}"
14,Write a C++ Program to find Square Root of a number using sqrt() function.,"#include<iostream>
#include<math.h>

using namespace std;

int main()
{
    float sq_._n;

    cout<<""Enter any positive number :: "";
    cin>>n;

    sq=sqrt(n);

    cout<<""\nSquare  root of Entered Number [ ""<<n<<"" ] is :: ""<<sq<<""\n"";

    return 0;
}"
15,Write a C++ Program to Calculate Compound Interest,"#include<iostream>
#include<math.h>
using namespace std;

int main()
{
    float p_._r_._t_._ci;

    cout<<""Enter Principle (Amount) :: "";
    cin>>p;
    cout<<""\nEnter Rate of Interest :: "";
    cin>>r;
    cout<<""\nEnter Time Period :: "";
    cin>>t;

    ci = p*pow((1+r/100)_._t);

    cout<<""\nThe Calculated Compound Interest is = ""<<ci<<""\n"";

    return 0;
}"
16,Write a C++ program to Find Cube of Number using MACROS,"
#include<iostream>
using namespace std;

#define CUBE(x) (x*x*x)

int main()
{
    int n_._cube;

    cout<<""Enter any positive number :: "";
    cin>>n;

    cube=CUBE(n);

    cout<<""\nThe Cube of Entered Number [ ""<<n<<"" ] is :: [ ""<<cube<<"" ]\n"";

    return 0;
}"
17,Write a C++ Program to Find whether given Number is Odd or Even,"#include<iostream>

using namespace std;

int main()
{
    int a;
    cout<<""Enter any positive number :: "";
    cin>>a;

    if(a%2==0)
    {
       cout<<""\nThe Entered Number [ ""<<a<<"" ] is EVEN Number.\n"";
    }

    else
    {
        cout<<""\nThe Entered Number [ ""<<a<<"" ] is ODD Number.\n"";
    }

    return 0;
}"
18,Write a C++ Program to Check Character is Uppercase_._ Lowercase_._ Digit or Special Character,"#include<iostream>

using namespace std;

int main()
{
    char ch;
    cout<<""Enter any character to check :: "";
    cin>>ch;

    if(ch>=65&&ch<=90)
    {
        cout<<""\n The Entered Character [ ""<<ch<<"" ] is an UPPERCASE character.\n"";
    }
    else if(ch>=48&&ch<=57)
    {
        cout<<""\n The Entered Character [ ""<<ch<<"" ] is a DIGIT.\n"";
    }
    else if(ch>=97&&ch<=122)
    {
        cout<<""\n The Entered Character [ ""<<ch<<"" ] is a LOWERCASE character.\n"";
    }
    else
    {
        cout<<""\n The Entered Character [ ""<<ch<<"" ] is an SPECIAL character.\n"";
    }

    return 0;
}"
19,Write a C++ Program to Check whether a year is Leap year or not.,"#include<iostream>
using namespace std;

int main()
{
    int year;

    cout<<""Enter any Year (XXXX) :: "";
    cin>>year;

    if(year%100==0)
    {
        if(year%400==0)
        {
           cout<<""\nThe Entered Year [ ""<<year<<"" ] is a Leap Year.\n"";
        }

    }
    else
    {
        if(year%4==0)
        {
            cout<<""\nThe Entered Year [ ""<<year<<"" ] is a Leap Year.\n"";
        }
        else
        {
            cout<<""\nThe Entered Year [ ""<<year<<"" ] is NOT a Leap Year.\n"";
        }

    }

   return 0;
}"
20,Write a C++ Program to Find Roots of Quadratic Equation using if else,"#include <iostream>
#include <cmath>
using namespace std;

int main()
{

    float a_._ b_._ c_._ x1_._ x2_._ determinant_._ realPart_._ imaginaryPart;
    cout << ""Enter coefficient a :: "";
    cin >> a ;
    cout << ""\nEnter coefficient b :: "";
    cin >> b ;
    cout << ""\nEnter coefficient c :: "";
    cin >> c ;

    determinant = b*b - 4*a*c;

    if (determinant > 0)
    {
        x1 = (-b + sqrt(determinant)) / (2*a);
        x2 = (-b - sqrt(determinant)) / (2*a);
        cout << ""\nRoots are real and different."" << endl;
        cout << ""\nx1 = "" << x1 << endl;
        cout << ""\nx2 = "" << x2 << endl;
    }

    else if (determinant == 0)
    {
        cout << ""\nRoots are real and same."" << endl;
        x1 = (-b + sqrt(determinant)) / (2*a);
        cout << ""\nx1 = x2 = "" << x1 << endl;
    }

    else
    {
        realPart = -b/(2*a);
        imaginaryPart =sqrt(-determinant)/(2*a);
        cout << ""\nRoots are complex and different.""  << endl;
        cout << ""\nx1 = "" << realPart << ""+"" << imaginaryPart << ""i"" << endl;
        cout << ""\nx2 = "" << realPart << ""-"" << imaginaryPart << ""i"" << endl;
    }

    return 0;
}"
21,Write a C++ Program to Check Whether a character is Vowel or Consonant,"#include <iostream>
using namespace std;

int main()
{
    char c;
    int isLowercaseVowel_._ isUppercaseVowel;

    cout << ""Enter any character to check :: "";
    cin >> c;

    // evaluates to 1 (true) if c is a lowercase vowel
    isLowercaseVowel = (c == 'a' || c == 'e' || c == 'i' || c == 'o' || c == 'u');

    // evaluates to 1 (true) if c is an uppercase vowel
    isUppercaseVowel = (c == 'A' || c == 'E' || c == 'I' || c == 'O' || c == 'U');

    // evaluates to 1 (true) if either isLowercaseVowel or isUppercaseVowel is true
    if (isLowercaseVowel || isUppercaseVowel)
    {
         cout<<""\nThe Entered Character [ ""<<c<<"" ] is a Vowel.\n"";
    }
    else
    {
         cout<<""\nThe Entered Character [ ""<<c<<"" ] is a Consonant.\n"";
    }


    return 0;
}"
22,Write a C++ Program to Check whether given number is Even or Odd.,"#include<iostream>
using namespace std;

int main()
{
  int i_._n;

  cout<<""Enter any positive number :: "";
  cin>>n;

    if(n%2==0)
    {
        cout<<""\nThe Entered Number [ ""<<n<<"" ] is EVEN number.\n"";
    }
    else
    {
        cout<<""\nThe Entered Number [ ""<<n<<"" ] is ODD number.\n"";
    }

    return 0;
}"
23,Write a C++ Program to Check given number is Prime number or not,"#include<iostream>
using namespace std;

int main()
{
  int i_._n;

  cout<<""Enter any positive number :: "";
  cin>>n;

  if(n==1)
  {
    cout<<""\nSmallest prime number is :: 2"";
  }

  for(i=2;i<n;i++)
  {
      if(n%i==0)
      {
          cout<<""\nThe Entered Number [ ""<<n<<"" ] is NOT a prime number.\n"";
          break;
      }
  }

 if(n==i)
 {
    cout<<""\nThe Entered Number [ ""<<n<<"" ] is a prime number.\n"";
 }

  return 0;
}"
24,Write a C++ Program to find Factorial of a Number using loop,"#include<iostream>
using namespace std;

int main()
{
    int i_._ n_._ fact=1;

    cout<<""Enter any positive number :: "";
    cin>>n;

    for(i=1;i<=n;i++)
    {
        fact=fact*i;
    }
    cout<<""\nFactorial of Number [ ""<<n<<""! ] is :: ""<<fact<<""\n"";

    return 0;
}"
25,Write a C++ Program to find Factorial of a Number using recursion,"#include<iostream>
using namespace std;

int fact(int a);

int main()
{
    int fact(int);
    int f_._ n;

    cout<<""Enter any positive number :: "";
    cin>>n;

    f=fact(n);
    cout<<""\nFactorial of Number [ ""<<n<<""! ] is :: ""<<f<<""\n"";

   return 0;
}

int fact(int a)
{
    if(a==1)
    {
       return(1);
    }
    else
    {
        return(a*fact(a-1));
    }
}"
26,Write a C++ program to Print Multiplication Table of a given number,"#include<iostream>
using namespace std;

int main()
{
    int i_._n_._table=1;

    cout<<""Enter any positive number :: "";
    cin>>n;

    cout<<""\nMultiplication Table of a given number [ ""<<n<<"" ] :: \n\n"";
    for(i=1;i<=10;i++)
    {
        table=n*i;
        cout<<""\t""<<n<<"" * ""<<i<<"" = ""<<table<<""\n\n"";
    }

    return 0;
}"
27,Write a C++ Program to Reverse a Number using while loop,"
#include<iostream>
using namespace std;

int main()
{
    int no_._rev=0_._r_._n;

    cout<<""Enter any positive number :: "";
    cin>>n;

    no=n;

    while(no>0)
    {
         r=no%10;
         rev=rev*10+r;
         no=no/10;
    }
    cout<<""\nReverse of a Number [ ""<<n<<"" ] is :: [ ""<<rev<<"" ] \n"";

    return 0;
}"
28,Write a C++ Program to Find the Number of Digits in a number.,"#include<iostream>
using namespace std;

int main()
{
    int n_._no_._a=0;

    cout<<""Enter any positive integer :: "";
    cin>>n;

    no=n;

    while(no>0)
    {
        no=no/10;
        a++;
    }
    cout<<""\nNumber of Digits in a number [ ""<<n<<"" ] is :: ""<<a<<""\n"";

   return 0;
}"
29,Write a C++ Program to Generate Fibonacci Series for N numbers,"#include<iostream>
using namespace std;

int main()
{
    int i_._no_._ first=0_._ second=1_._ next;

    first=0;
    second=1;

    cout<<""How many terms u want to Display :: "";
    cin>>no;

    cout<<""\nThe Fibonacci series for [ ""<<no<<"" ] terms are :: \n\n"";
    for(i=0; i<no; i++)
    {
        cout<<"" ""<<first<<"" "";
        next = first + second;
        first = second;
        second = next;
    }

    cout<<""\n"";

    return 0;
}"
30,Write a C++ Program to Check whether a Number is Armstrong or not using function,"#include<iostream>
using namespace std;

int power(int c_._ int d);

int main()
{
     int num;
     int f_._rem_._sum=0_._temp_._a=0;

     cout<<""Enter any number :: "";
     cin>>num;

     temp=num;

     while(temp != 0)
     {
         temp=temp/10;
         a=a+1;
     }

     f=num;

     while(f!=0)
     {
         rem=f%10;
         sum = sum + power(rem_._a);
         f=f/10;
     }

     if( sum == num )
     {
         cout<<""\n The Entered Number [ ""<<num<<"" ] is an Armstrong number.\n"";
     }
     else
     {
         cout<<""\n The Entered Number [ ""<<num<<"" ] is Not an Armstrong number.\n"";
     }

     return 0;
}


int power(int c_._ int d)
{
    int pow=1;
    int i=1;
    while(i<=d)
    {
      pow=pow*c;
      i++;
     }
     return pow;
}"
31,Write a C++ program to Find Largest of three numbers using nested if,"#include<iostream>
using namespace std;

int main()
{

    int a_._ b_._ c;
    cout <<""Enter 1st number :: "";
    cin>>a;
    cout <<""\nEnter 2nd number :: "";
    cin>>b;
    cout <<""\nEnter 3rd number :: "";
    cin>>c;

    if(a>=b && a>=c)
    {
    cout<<""\nThe Largest number among [ ""<<a<<""_._ ""<<b<<""_._ ""<<c<<"" ] is :: ""<<a<<""\n"";
    }
    if(b>=a && b>=c)
    {
    cout<<""\nThe Largest number among [ ""<<a<<""_._ ""<<b<<""_._ ""<<c<<"" ] is :: ""<<b<<""\n"";
    }
    if(c>=a && c>=b)
    {
    cout<<""\nThe Largest number among [ ""<<a<<""_._ ""<<b<<""_._ ""<<c<<"" ] is :: ""<<c<<""\n"";
    }

   return 0;
}"
32,Write a C++ program to Check whether a number is palindrome or not using while loop,"#include<iostream>
using namespace std;

int main()
{
    int a_._no_._b_._temp=0;

    cout<<""Enter any positive number :: "";
    cin>>no;

    b=no;

    while(no>0)
    {
        a=no%10;
        no=no/10;
        temp=temp*10+a;
    }

    if(temp==b)
    {
        cout<<""\nThe Number [ ""<<b<<"" ] is Palindrome.\n"";
    }
    else
    {
        cout<<""\nThe Number [ ""<<b<<"" ] is Not Palindrome.\n"";
    }

    return 0;
}"
33,Write a C++ Program to Calculate HCF of Two Numbers using Functions ,"#include<iostream>
using namespace std;

void gcd(int_._int);

int main()
{
    int a_._b;

    cout<<""Enter 1st number :: "";
    cin>>a;
    cout<<""\nEnter 2nd number :: "";
    cin>>b;

    gcd(a_._b);

  return 0;
}

//function to calculate g.c.d
void gcd(int a_._int b)
{
    int m_._n;

    m=a;
    n=b;

    while(m!=n)
    {
        if(m>n)
            m=m-n;
        else
            n=n-m;
    }

    cout<<""\nH.C.F of [ ""<<a<<"" ] and [ ""<<b<<"" ] is :: ""<<m<<""\n"";
}"
34,Write a C++ program to find LCM of two numbers using functions,"#include<iostream>
using namespace std;

void lcm(int_._int);

int main()
{
    int a_._b;

    cout<<""Enter 1st number :: "";
    cin>>a;
    cout<<""\nEnter 2nd number :: "";
    cin>>b;

    lcm(a_._b);

  return 0;
}

//function to calculate l.c.m
void lcm(int a_._int b)
{
    int m_._n;

    m=a;
    n=b;

    while(m!=n)
    {
        if(m < n)
        {
        m=m+a;
        }
        else
        {
            n=n+b;
            }
    }

    cout<<""\nL.C.M of [ ""<<a<<"" ] and [ ""<<b<<"" ] is :: ""<<m<<""\n"";
}"
35,Write a C++ program to find Square Root of a Number.,"#include<iostream>
#include<math.h>
using namespace std;

int main()
{
    int num;
    double ans;

    cout<<""Enter any positive integer :: "";
    cin>>num;

    ans=pow((double)num_._(double)0.5);

    cout<<""\nSquare Root of [ ""<<num<<"" ] is :: ""<<ans<<""\n"";

    return 0;
}"
36,Write a C++ Program to find Cube Root of a Number,"#include<iostream>
#include<math.h>
using namespace std;

int main()
{
    int num;
    double ans;

    cout<<""Enter number which u want to find cube root :: "";
    cin>>num;

    ans=(double)pow((double)num_._(double)1/(double)3);

    cout<<""\nCube Root of [ ""<<num<<"" ] is :: ""<<ans<<""\n"";

    return 0;"
37,Write a C++ Program to find Sum of Digits of a Number using while loop,"#include<iostream>
using namespace std;

int main()
{
    long int a_._num_._no_._sum=0;
    
    //----Enter any number which u want --------
    cout<<""Enter any integer :: "";
    cin>>num;

    no=num;

    while(no>0)
    {
        a=no%10;
        no=no/10;
        sum=sum+a;
    }
    
    cout<<""\nSum of Digits of a Number [ ""<<num<<"" ] :: ""<<sum<<""\n"";

    return 0;
}"
38,Write a C++ Program to Find Power of a Number using for loop,"#include<iostream>
using namespace std;

int main()
{
   int b_._p_._i_._pow=1;
   cout<<""Enter base of a number :: "";
   cin>>b;
   cout<<""\nEnter power to a base [ ""<<b<<"" ] :: "";
   cin>>p;

   for(i=p;i>0;i--)
   {
        pow=pow*b;
   }
   cout<<""\nPower of a Number [ ""<<b<<"" ^ ""<<p<<"" ] :: ""<<pow<<""\n"";

  return 0;
  }"
39,Write a C++ Program to Find Sum and Average of n numbers using for loop.,"#include<iostream>
using namespace std;

int main()
{
    int i_._n_._x_._sum=0;
    float avg;

    cout<<""How many numbers u want to enter :: "";
    cin>>n;

    for(i=1;i<=n;++i)
    {
        cout<<""\nEnter number ""<<i<<"" :: "";
        cin>>x;

        sum+=x;
    }

    avg=(float)sum/(float)n;

    cout<<""\n\nSum of ""<<n<<"" Numbers :: ""<<sum;

    cout<<""\n\nAverage of ""<<n<<"" Numbers :: ""<<avg;

    cout<<""\n"";

    return 0;
}"
40,Write a C++ Program to Print Pascal Triangle using function.,"#include<iostream>

using namespace std;

//function to calculate factorial
long fact(int x)
{
    int i;
    long f=1;

    for(i=1;i<=x;++i)
    {
        f=f*i;
    }

    return f;
}

int main()
{
    int i_._j_._k_._n;

    cout<<""How many lines u want to Print :: "";
    cin>>n;

    for(i=0;i<n;++i)
    {
        //loop to print spaces at starting of each row
        for(j=1;j<=(n-i-1);++j)
        {
            cout<<"" "";
        }

        //loop to calculate each value in a row and print it
        for(k=0;k<=i;++k)
        {
             cout<<fact(i)/(fact(i-k)*fact(k))<<"" "";
        }

        cout<<""\n"";    //print new line after each row
    }

    return 0;
}"
41,Write a C++ Program to find Factors of a Number using For loop.,"#include<iostream>

using namespace std;

int main()
{
    long int n_._i;
    cout<<""Enter any number: "";
    cin>>n;
    cout<<endl<<""\nFactors of [ ""<<n<<"" ] are :: "";

    for(i=1;i<=n;++i)
    {
        if(n%i==0)
            cout<<"" ""<<i;
    }

    cout<<""\n"";

    return 0;
}"
42,Write a C++ Program to Check Number is Unique Number or Not,"#include<iostream>
#include<stdlib.h>

using namespace std;

int main()
{
    long num;
    char str[10];
    int a[10]={0}_._flag=1_._i=0;

    cout<<""Enter any number :: "";
    cin>>num;
    itoa(num_._str_._10);    //convert number to character array

    while(str[i]!='\0')
    {
        switch(str[i])
        {
            case '0':
                        a[0]++;
                        break;
            case '1':
                        a[1]++;
                        break;
            case '2':
                        a[2]++;
                        break;
            case '3':
                        a[3]++;
                        break;
            case '4':
                        a[4]++;
                        break;
            case '5':
                        a[5]++;
                        break;
            case '6':
                        a[6]++;
                        break;
            case '7':
                        a[7]++;
                        break;
            case '8':
                        a[8]++;
                        break;
            case '9':
                        a[9]++;
                        break;
        }
        i++;
    }

    for(i=0;i<10;i++)
    {
        if(a[i]>1)
        {
            flag=0;
            break;
        }
    }

    if(flag)
        cout<<""\nNumber is Unique.\n"";
    else
        cout<<""\nNumber is Not Unique.\n"";

    return 0;
}"
43,Write a C++ Program to Find Sum of Square of first n Natural numbers,"#include<iostream>

using namespace std;

int main()
{
    unsigned long n_._i_._sum=0_._d;
    cout<<""Enter any number :: "";
    cin>>n;

    for(i=1;i<=n;++i)
    {
        d=i*i;
        sum+=d;
    }

    cout<<""\nSum of square of [ ""<<n<<"" ] Numbers = ""<<sum<<""\n"";
    return 0;
}"
44,Write a C++ Program to Convert Binary Number to Decimal,"#include<iostream>
#include<math.h>

using namespace std;

int main()
{
    unsigned long i_._n_._num=0_._d;
    cout<<""Enter any Binary number:"";
    cin>>n;
    cout<<""\nThe Decimal conversion of [ ""<<n<<"" ] is :: "";

    for(i=0;n!=0;++i)
    {
    d=n%10;
    num=(d)*(pow(2_._i))+num;
    n=n/10;
    }

    cout<<num<<""\n"";
    return 0;
}"
45,Write a C++ Program to find Prime Numbers Between Two Intervals using functions,"#include <iostream>
using namespace std;

int checkPrimeNumber(int);

int main()
{
    int n1_._ n2;
    bool flag;

    cout << ""Enter 1st Interval :: "";
    cin >> n1 ;
    cout << ""\nEnter 2nd Interval :: "";
    cin >> n2 ;

    cout << ""\nPrime numbers between [ "" << n1 << "" and "" << n2 << "" ] are :: \n\n"";

    for(int i = n1+1; i < n2; ++i)
    {
        // If i is a prime number_._ flag will be equal to 1
        flag = checkPrimeNumber(i);

        if(flag == false)
            cout << i << "" "";
    }
    return 0;
}

// user-defined function to check prime number
int checkPrimeNumber(int n)
{
    bool flag = true;

    for(int j = 2; j <= n/2; ++j)
    {
        if (n%j == 0)
        {
            flag = false;
            break;
        }
    }
    return flag;
}"
46,Write a C++ Program to Convert Decimal Number to Binary,"#include<iostream>

using namespace std;

int main()
{
    int d_._n_._i_._j_._a[50];
    cout<<""Enter any Decimal number :: "";
    cin>>n;

    cout<<""\nThe binary conversion of [ ""<<n<<"" ] is 1"";

    for(i=1;n!=1;++i)
    {
        d=n%2;
        a[i]=d;
        n=n/2;
    }

    for(j=i-1;j>0;--j)
        cout<<a[j];

    return 0;
}"
47,Write a C++ Program to find Prime Numbers Between Two Intervals using functions,"#include <iostream>
using namespace std;

int checkPrimeNumber(int);

int main()
{
    int n1_._ n2;
    bool flag;

    cout << ""Enter 1st Interval :: "";
    cin >> n1 ;
    cout << ""\nEnter 2nd Interval :: "";
    cin >> n2 ;

    cout << ""\nPrime numbers between [ "" << n1 << "" and "" << n2 << "" ] are :: \n\n"";

    for(int i = n1+1; i < n2; ++i)
    {
        // If i is a prime number_._ flag will be equal to 1
        flag = checkPrimeNumber(i);

        if(flag == false)
            cout << i << "" "";
    }
    return 0;
}

// user-defined function to check prime number
int checkPrimeNumber(int n)
{
    bool flag = true;

    for(int j = 2; j <= n/2; ++j)
    {
        if (n%j == 0)
        {
            flag = false;
            break;
        }
    }
    return flag;
}"
48,Write a C++ Program to Convert Binary Number to Octal.,"#include <iostream>
#include <cmath>

using namespace std;

int convertBinarytoOctal(long long);
int main()
{
    long long binaryNumber;

    cout << ""Enter a binary number: "";
    cin >> binaryNumber;

     cout <<""\n [ ""<< binaryNumber << "" ] in binary = [ "" << convertBinarytoOctal(binaryNumber) << "" ] in octal \n"";

    return 0;
}

int convertBinarytoOctal(long long binaryNumber)
{
    int octalNumber = 0_._ decimalNumber = 0_._ i = 0;

    while(binaryNumber != 0)
    {
        decimalNumber += (binaryNumber%10) * pow(2_._i);
        ++i;
        binaryNumber/=10;
    }

    i = 1;

    while (decimalNumber != 0)
    {
        octalNumber += (decimalNumber % 8) * i;
        decimalNumber /= 8;
        i *= 10;
    }

    return octalNumber;
}"
49,Write a C++ Program to calculate Average of 5 subjects and find percentage.,"#include<iostream>
using namespace std;

int main()
{
        int mark[5]_._ i;
        float sum=0;
        cout<<""\nEnter marks obtained in Physics_._ Chemistry_._ Maths_._ CS_._ English :: \n"";
        for(i=0; i<5; i++)
        {
            cout<<""\nEnter mark[ ""<<i+1<<"" ] :: "";
                cin>>mark[i];
                sum=sum+mark[i];
        }

        float avg=sum/5;
        float perc;
        perc=(sum/500)*100;
        cout<<""\nAverage Marks of 5 Subjects = [ ""<<avg<<"" ] \n"";
        cout<<""\nPercentage in 5 Subjects = [ ""<<perc<<""% ] \n"";

        return 0;
}"
50,Write a C++ Program to Calculate Arithmetic Mean of N numbers.,"#include<iostream>
using namespace std;

int main()
{
        int n_._ i_._ arr[50]_._ sum=0;
        cout<<""\nHow many number you want to enter :: "";
        cin>>n;

        cout<<""\nEnter ""<<n<<"" Numbers Below :: \n"";
        for(i=0; i<n; i++)
        {
            cout<<""\nEnter [ ""<<i+1<<"" ] Number :: "";
                cin>>arr[i];
                sum=sum+arr[i];
        }

        int armean=sum/n;

        cout<<""\nArithmetic Mean of [ ""<<n<<"" ] Numbers = ""<<armean<<""\n"";

        return 0;
}"
51,Write a C++ Program to Find Grade of a Student using if else.,"#include<iostream>
using namespace std;

int main()
{
        int mark[5]_._ i;
        float sum=0_._avg;

        cout<<""\nEnter Marks in 5 subjects :: \n"";
        for(i=0; i<5; i++)
        {
            cout<<""\nEnter Marks[ ""<<i+1<<"" ] :: "";
                cin>>mark[i];
                sum=sum+mark[i];
        }

        avg=sum/5;

        cout<<""\nYour Grade is :: "";
        if(avg>80)
        {
                cout<<""[ A ]\n"";
        }
        else if(avg>60 && avg<=80)
        {
                cout<<""[ B ]\n"";
        }
        else if(avg>40 && avg<=60)
        {
                cout<<""[ C ]\n"";
        }
        else
        {
                cout<<""[ D ]\n"";
        }

        return 0;
}"
52,Write a C++ Program to find Perfect Number using loop,"#include<iostream>
using namespace std;

int main()                 //Start of main
{
   int i=1_._ u=1_._ sum=0;
   while(i<=500)
 {                                  // start of first loop.

   while(u<=500)
   {                               //start of second loop.
     if(u<i)
     {
      if(i%u==0 )
      sum=sum+u;
     }                          //End of if statement

     u++;
   }                           //End of second loop

   if(sum==i)
   {
    cout<<i<<"" is a perfect number.""<<""\n"";
   }

   i++;
   u=1;  sum=0;
 }                             //End of First loop
   return 0;
 "
53,Write a C++ Program to find Area and Perimeter of Rectangle.,"#include<iostream>

using namespace std;

int main()

{

    int width_._height_._area_._perimeter;

    cout<<""Enter Length of Rectangle = "";

    cin>>width;

    cout<<""\nEnter Breadth of Rectangle = "";

    cin>>height;

    area=height*width;

    cout<<""\nArea of Rectangle = ""<<area<<endl;

    perimeter=2*(height+width);

cout<<""\nPerimeter of rectangle are = ""<<perimeter<<endl;

return 0;

}"
